Регион,Период,Несовершеннолетние,Ранее_судимые,В_состоянии_опьянения,Иностранцы_и_СНГ
Орловская область,032021,1752,2,12,0
Рязанская область,032021,2209,0,24,3
Смоленская область,032021,3234,1,36,6
Тамбовская область,032021,3458,3,23,0
Тверская область,032021,4612,1,24,1
Тульская область,032021,3502,10,36,5
Ярославская область,032021,3506,3,12,0
Архангельская область,032021,3688,1,27,4
Ненецкий автономный округ,032021,177,0,19,0
г. Санкт-Петербург,032021,15487,18,32,16
Ленинградская область,032021,5900,4,16,3
Вологодская область,032021,3880,1,29,0
Калининградская область,032021,2716,1,32,3
Мурманская область,032021,2556,2,29,8
Новгородская  область,032021,2314,3,38,0
Псковская область,032021,1836,5,32,0
Республика Карелия,032021,2940,3,21,0
Республика Коми,032021,3277,0,30,0
Кабардино-Балкарская Республика,032021,1963,0,5,1
Карачаево-Черкесская Республика,032021,1148,0,21,1
Республика Дагестан,032021,4107,0,59,9
Республика Ингушетия,032021,512,0,11,1
Республика Северная Осетия – Алания,032021,2140,0,62,1
Ставропольский край,032021,8231,0,12,8
Чеченская Республика,032021,941,5,11,1
Астраханская область,032021,3389,1,22,0
Волгоградская область,032021,8578,3,65,0
г. Севастополь,032021,1260,0,27,0
Ростовская область,032021,13920,0,113,5
Краснодарский край,032021,18400,1,233,4
Республика Адыгея,032021,1109,0,0,0
Республика Калмыкия,032021,670,0,11,0
Республика Крым,032021,4923,1,49,8
Кировская область,032021,4308,29,26,0
Нижегородская область,032021,10159,16,33,3
Оренбургская область,032021,6374,2,68,1
Пензенская область,032021,3073,0,26,0
Пермский край,032021,8924,21,102,4
Республика Татарстан,032021,12875,4,43,4
Республика Башкортостан,032021,12728,21,81,2
Республика Марий Эл,032021,1537,9,53,0
Республика Мордовия,032021,1960,8,59,0
Самарская область,032021,10325,169,62,2
Саратовская область,032021,7378,89,17,0
Удмуртская Республика,032021,6332,12,30,1
Ульяновская область,032021,2771,20,10,2
Чувашская Республика,032021,2880,4,43,0
Курганская область,032021,3083,2,53,0
Свердловская область,032021,12889,6,68,5
Тюменская область,032021,5325,3,30,1
Ханты-Мансийский автономный округ –  Югра,032021,4670,10,23,0
Ямало-Ненецкий автономный округ,032021,1729,2,17,0
Челябинская область,032021,13789,34,145,6
Алтайский край,032021,9042,11,59,5
Иркутская область,032021,8419,2,39,1
Кемеровская область – Кузбасс,032021,11281,2,85,4
Красноярский край,032021,10416,27,116,3
Новосибирская область,032021,10673,69,86,10
Омская область,032021,5914,7,38,5
Республика Алтай,032021,1163,0,19,0
Республика Тыва,032021,2033,4,10,0
Республика Хакасия,032021,2593,2,10,0
Томская область,032021,3622,1,29,2
Амурская область,032021,3950,8,81,0
Еврейская автономная область,032021,684,0,12,0
Забайкальский край,032021,4870,14,79,4
Камчатский край,032021,1400,13,35,0
Магаданская область,032021,577,1,42,0
Приморский край,032021,7453,51,140,9
Республика Бурятия,032021,4641,42,47,0
Республика Саха (Якутия),032021,2770,1,5,0
Сахалинская область,032021,1947,7,20,1
Хабаровский край,032021,4838,2,28,0
Чукотский автономный округ,032021,165,0,18,0
Транспорт России,032021,9547,2,172,423
УТ МВД по Южному ФО,032021,454,0,24,19
УТ МВД по Уральскому ФО,032021,1178,0,22,57
УТ МВД по Центральному ФО,032021,1538,1,14,128
УТ МВД по Приволжскому ФО,032021,1641,1,12,44
УТ МВД по Сибирскому ФО,032021,1111,0,14,27
УТ МВД по Северо-Западному ФО,032021,1050,0,11,71
УТ МВД по Дальневосточному ФО,032021,862,0,25,12
УТ МВД по Северо-Кавказскому ФО,032021,836,0,19,32
Белгородская область,032022,3232,0,36,4
Брянская область,032022,3700,1,41,6
Владимирская область,032022,3500,3,28,0
Воронежская область,032022,6975,10,29,2
Ивановская область,032022,2675,3,27,0
Калужская область,032022,3377,4,64,1
Костромская область,032022,1758,0,4,0
Курская область,032022,3282,0,34,6
г. Москва,032022,34520,59,30,16
Московская область,032022,17629,17,40,2
Липецкая область,032022,2891,0,23,1
Орловская область,032022,1913,2,8,0
Рязанская область,032022,2113,1,25,1
Смоленская область,032022,3243,2,46,1
Тамбовская область,032022,3376,7,11,0
Тверская область,032022,4394,4,61,0
Тульская область,032022,3431,4,17,1
Ярославская область,032022,3419,4,19,2
Архангельская область,032022,3617,6,162,0
Ненецкий автономный округ,032022,154,0,12,0
г. Санкт-Петербург,032022,13941,92,29,19
Ленинградская область,032022,5970,22,15,15
Вологодская область,032022,3772,2,19,4
Калининградская область,032022,2867,1,37,2
Мурманская область,032022,2664,0,37,3
Новгородская  область,032022,2161,4,17,0
Псковская область,032022,1896,10,32,3
Республика Карелия,032022,2927,12,29,3
Республика Коми,032022,3319,9,19,0
Кабардино-Балкарская Республика,032022,1889,0,21,0
Карачаево-Черкесская Республика,032022,1160,0,24,0
Республика Дагестан,032022,4090,1,26,4
Республика Ингушетия,032022,512,0,22,0
Республика Северная Осетия – Алания,032022,1930,0,57,0
Ставропольский край,032022,7988,0,12,3
Чеченская Республика,032022,591,0,5,1
Астраханская область,032022,3187,3,32,0
Волгоградская область,032022,8451,15,28,0
г. Севастополь,032022,1496,0,26,1
Ростовская область,032022,13477,0,110,1
Краснодарский край,032022,18179,2,216,5
Республика Адыгея,032022,1093,2,25,0
Республика Калмыкия,032022,711,1,10,0
Республика Крым,032022,4634,1,53,3
Кировская область,032022,3703,41,61,0
Нижегородская область,032022,9322,16,30,1
Оренбургская область,032022,5128,8,125,1
Пензенская область,032022,2894,7,35,0
Пермский край,032022,9104,34,37,2
Республика Татарстан,032022,12309,4,34,4
Республика Башкортостан,032022,11575,31,88,6
Республика Марий Эл,032022,1745,3,19,0
Республика Мордовия,032022,1912,3,11,0
Самарская область,032022,10254,194,53,4
Саратовская область,032022,7160,37,59,0
Удмуртская Республика,032022,5571,5,30,0
Ульяновская область,032022,2736,14,10,0
Чувашская Республика,032022,2809,4,22,0
Курганская область,032022,3058,0,60,2
Свердловская область,032022,12027,7,66,2
Тюменская область,032022,5368,5,62,2
Ханты-Мансийский автономный округ –  Югра,032022,4567,3,28,0
Ямало-Ненецкий автономный округ,032022,1521,2,16,0
Челябинская область,032022,14056,30,161,2
Алтайский край,032022,8998,15,87,2
Иркутская область,032022,7961,4,39,0
Кемеровская область – Кузбасс,032022,10390,42,84,7
Красноярский край,032022,10213,70,91,10
Новосибирская область,032022,10070,83,86,24
Омская область,032022,5132,23,41,4
Республика Алтай,032022,1177,2,19,0
Республика Тыва,032022,1351,10,5,1
Республика Хакасия,032022,2154,6,26,1
Томская область,032022,3600,18,29,5
Амурская область,032022,3296,10,116,0
Еврейская автономная область,032022,601,1,11,0
Забайкальский край,032022,4486,12,60,0
Камчатский край,032022,1325,10,23,3
Магаданская область,032022,507,0,15,0
Приморский край,032022,7164,73,162,24
Республика Бурятия,032022,4471,27,54,0
Республика Саха (Якутия),032022,2675,0,17,0
Сахалинская область,032022,1759,3,25,0
Хабаровский край,032022,4300,2,36,9
Чукотский автономный округ,032022,214,0,16,0
Транспорт России,032022,8909,0,153,486
УТ МВД по Южному ФО,032022,442,0,8,24
УТ МВД по Уральскому ФО,032022,1009,0,20,31
УТ МВД по Центральному ФО,032022,1413,0,5,121
УТ МВД по Приволжскому ФО,032022,1561,0,23,125
УТ МВД по Сибирскому ФО,032022,1011,0,24,55
УТ МВД по Северо-Западному ФО,032022,1094,0,14,50
УТ МВД по Дальневосточному ФО,032022,812,0,18,18
УТ МВД по Северо-Кавказскому ФО,032022,825,0,18,39
Белгородская область,042021,4617,0,30,7
Брянская область,042021,4727,0,64,2
Владимирская область,042021,5091,2,74,2
Воронежская область,042021,9255,2,68,4
Ивановская область,042021,3732,2,16,0
Калужская область,042021,5114,3,87,0
Костромская область,042021,2666,0,2,0
Курская область,042021,4276,2,38,6
г. Москва,042021,48275,121,31,16
Московская область,042021,24624,6,45,3
Липецкая область,042021,4042,0,28,1
Орловская область,042021,2378,3,17,0
Рязанская область,042021,2897,0,31,3
Смоленская область,042021,4300,1,59,5
Тамбовская область,042021,4438,5,26,0
Тверская область,042021,6213,1,36,2
Тульская область,042021,4418,15,42,7
Ярославская область,042021,4868,5,17,0
Архангельская область,042021,4965,2,33,4
Ненецкий автономный округ,042021,223,0,27,0
г. Санкт-Петербург,042021,20070,25,42,20
Ленинградская область,042021,8162,4,21,3
Вологодская область,042021,5408,3,34,0
Калининградская область,042021,3747,1,40,3
Мурманская область,042021,3520,3,47,11
Новгородская  область,042021,3213,4,46,0
Псковская область,042021,2438,5,40,1
Республика Карелия,042021,4098,4,36,0
Республика Коми,042021,4392,0,39,0
Кабардино-Балкарская Республика,042021,2554,0,10,1
Карачаево-Черкесская Республика,042021,1474,0,29,1
Республика Дагестан,042021,5384,0,78,12
Республика Ингушетия,042021,664,0,15,2
Республика Северная Осетия – Алания,042021,2735,0,76,0
Ставропольский край,042021,11210,0,18,10
Чеченская Республика,042021,1247,5,15,1
Астраханская область,042021,4496,1,38,1
Волгоградская область,042021,11499,4,78,0
г. Севастополь,042021,1812,0,23,0
Ростовская область,042021,18857,0,155,9
Краснодарский край,042021,24893,2,307,4
Республика Адыгея,042021,1554,0,0,0
Республика Калмыкия,042021,903,0,14,0
Республика Крым,042021,6639,1,65,9
Кировская область,042021,5792,46,42,0
Нижегородская область,042021,13745,20,40,4
Оренбургская область,042021,8465,3,108,1
Пензенская область,042021,4231,0,36,0
Пермский край,042021,12642,31,155,1
Республика Татарстан,042021,17383,4,54,5
Республика Башкортостан,042021,17086,26,103,5
Республика Марий Эл,042021,2088,12,54,0
Республика Мордовия,042021,2664,9,75,0
Самарская область,042021,13929,236,85,3
Саратовская область,042021,9688,120,32,0
Удмуртская Республика,042021,8558,13,41,2
Ульяновская область,042021,3746,28,28,2
Чувашская Республика,042021,3947,4,60,0
Курганская область,042021,4155,4,85,0
Свердловская область,042021,17405,9,97,5
Тюменская область,042021,7371,4,50,2
Ханты-Мансийский автономный округ –  Югра,042021,6423,12,30,0
Ямало-Ненецкий автономный округ,042021,2345,2,19,0
Челябинская область,042021,19011,42,182,8
Алтайский край,042021,12352,13,78,4
Иркутская область,042021,11580,2,57,1
Кемеровская область – Кузбасс,042021,15277,2,139,3
Красноярский край,042021,14065,53,155,4
Новосибирская область,042021,14351,87,105,14
Омская область,042021,7967,7,56,8
Республика Алтай,042021,1540,0,27,0
Республика Тыва,042021,2792,9,14,0
Республика Хакасия,042021,3505,2,16,0
Томская область,042021,5005,1,32,3
Амурская область,042021,5421,8,115,0
Еврейская автономная область,042021,939,0,18,0
Забайкальский край,042021,6641,17,98,4
Камчатский край,042021,1886,15,46,0
Магаданская область,042021,781,1,44,1
Приморский край,042021,10312,72,218,23
Республика Бурятия,042021,6396,67,69,0
Республика Саха (Якутия),042021,3721,2,7,0
Сахалинская область,042021,2618,9,43,2
Хабаровский край,042021,6694,2,34,0
Чукотский автономный округ,042021,219,0,21,0
Транспорт России,042021,12550,2,253,582
УТ МВД по Южному ФО,042021,580,0,34,23
УТ МВД по Уральскому ФО,042021,1495,0,40,52
УТ МВД по Центральному ФО,042021,2142,1,19,209
УТ МВД по Приволжскому ФО,042021,2139,1,16,55
УТ МВД по Сибирскому ФО,042021,1464,0,24,37
УТ МВД по Северо-Западному ФО,042021,1365,0,15,100
УТ МВД по Дальневосточному ФО,042021,1132,0,41,18
УТ МВД по Северо-Кавказскому ФО,042021,1084,0,20,49
Белгородская область,042022,4267,0,45,4
Брянская область,042022,4655,3,44,11
Владимирская область,042022,4837,3,43,0
Воронежская область,042022,9587,13,42,2
Ивановская область,042022,3562,6,35,0
Калужская область,042022,4548,4,92,1
Костромская область,042022,2382,0,8,0
Курская область,042022,4386,1,49,9
г. Москва,042022,46452,94,56,23
Московская область,042022,23799,20,53,3
Липецкая область,042022,4050,0,28,2
