Регион,Период,Несовершеннолетние,Ранее_судимые,В_состоянии_опьянения,Иностранцы_и_СНГ
г. Санкт-Петербург,082021,39470,53,75,32
Ленинградская область,082021,16825,5,56,4
Вологодская область,082021,10922,15,49,0
Калининградская область,082021,8158,5,76,13
Мурманская область,082021,7109,4,116,9
Новгородская  область,082021,6733,7,62,0
Псковская область,082021,4883,18,85,1
Республика Карелия,082021,8433,20,82,7
Республика Коми,082021,9140,2,56,0
Кабардино-Балкарская Республика,082021,4794,1,17,2
Карачаево-Черкесская Республика,082021,2772,0,56,1
Республика Дагестан,082021,9371,0,135,17
Республика Ингушетия,082021,1301,0,22,2
Республика Северная Осетия – Алания,082021,5114,0,121,2
Ставропольский край,082021,22286,1,31,17
Чеченская Республика,082021,2049,6,25,1
Астраханская область,082021,8814,1,82,4
Волгоградская область,082021,23810,12,145,0
г. Севастополь,082021,3608,0,41,0
Ростовская область,082021,36747,0,319,10
Краснодарский край,082021,49513,4,602,18
Республика Адыгея,082021,2678,3,64,0
Республика Калмыкия,082021,1830,2,22,0
Республика Крым,082021,12994,3,118,7
Кировская область,082021,11508,101,134,1
Нижегородская область,082021,26145,41,85,6
Оренбургская область,082021,16476,6,226,3
Пензенская область,082021,8481,8,102,0
Пермский край,082021,25886,73,229,5
Республика Татарстан,082021,34516,10,103,10
Республика Башкортостан,082021,33665,39,231,8
Республика Марий Эл,082021,4523,22,77,1
Республика Мордовия,082021,5228,13,136,0
Самарская область,082021,28085,507,175,3
Саратовская область,082021,19284,221,76,1
Удмуртская Республика,082021,17337,25,92,3
Ульяновская область,082021,7583,44,48,4
Чувашская Республика,082021,7707,13,81,0
Курганская область,082021,8664,5,174,0
Свердловская область,082021,34625,25,174,10
Тюменская область,082021,15146,9,125,6
Ханты-Мансийский автономный округ –  Югра,082021,13156,17,68,0
Ямало-Ненецкий автономный округ,082021,4592,6,32,0
Челябинская область,082021,40609,69,385,8
Алтайский край,082021,25222,28,175,3
Иркутская область,082021,24082,2,92,3
Кемеровская область – Кузбасс,082021,31792,8,297,3
Красноярский край,082021,29200,124,293,13
Новосибирская область,082021,29461,144,201,22
Омская область,082021,15651,7,145,15
Республика Алтай,082021,2942,0,38,0
Республика Тыва,082021,5609,13,21,0
Республика Хакасия,082021,7003,8,24,2
Томская область,082021,10445,1,63,5
Амурская область,082021,11476,24,215,4
Еврейская автономная область,082021,1910,0,31,0
Забайкальский край,082021,13305,31,194,5
Камчатский край,082021,3587,26,71,1
Магаданская область,082021,1498,3,63,5
Приморский край,082021,21446,156,450,40
Республика Бурятия,082021,13285,113,133,1
Республика Саха (Якутия),082021,7727,2,26,0
Сахалинская область,082021,5321,14,112,2
Хабаровский край,082021,13903,6,69,2
Чукотский автономный округ,082021,452,0,36,0
Транспорт России,082021,24009,2,466,1188
УТ МВД по Южному ФО,082021,1041,0,57,51
УТ МВД по Уральскому ФО,082021,2571,0,79,66
УТ МВД по Центральному ФО,082021,4316,1,19,548
УТ МВД по Приволжскому ФО,082021,4249,1,32,88
УТ МВД по Сибирскому ФО,082021,2887,0,51,64
УТ МВД по Северо-Западному ФО,082021,2693,0,26,171
УТ МВД по Дальневосточному ФО,082021,2157,0,85,36
УТ МВД по Северо-Кавказскому ФО,082021,1912,0,46,80
Белгородская область,082022,9123,1,69,5
Брянская область,082022,8802,7,99,13
Владимирская область,082022,10019,6,88,0
Воронежская область,082022,19779,20,71,2
Ивановская область,082022,7551,14,77,0
Калужская область,082022,9443,21,155,1
Костромская область,082022,5043,2,12,0
Курская область,082022,8450,1,79,14
г. Москва,082022,92140,186,116,35
Московская область,082022,47885,47,95,3
Липецкая область,082022,8216,0,88,2
Орловская область,082022,5049,5,32,0
Рязанская область,082022,5666,1,75,3
Смоленская область,082022,9130,10,189,1
Тамбовская область,082022,8718,16,47,0
Тверская область,082022,13152,9,161,2
Тульская область,082022,9493,13,85,13
Ярославская область,082022,10291,12,62,1
Архангельская область,082022,10097,14,101,2
Ненецкий автономный округ,082022,414,0,18,0
г. Санкт-Петербург,082022,38506,372,67,31
Ленинградская область,082022,18157,55,38,30
Вологодская область,082022,10779,14,56,4
Калининградская область,082022,7970,27,95,5
Мурманская область,082022,7165,17,115,3
Новгородская  область,082022,6708,10,32,0
Псковская область,082022,5396,25,95,8
Республика Карелия,082022,7501,23,101,9
Республика Коми,082022,8984,27,50,0
Кабардино-Балкарская Республика,082022,4481,1,36,0
Карачаево-Черкесская Республика,082022,2873,0,66,0
Республика Дагестан,082022,9570,3,82,13
Республика Ингушетия,082022,1393,0,39,0
Республика Северная Осетия – Алания,082022,5231,1,108,6
Ставропольский край,082022,21863,0,41,8
Чеченская Республика,082022,1398,0,18,2
Астраханская область,082022,8428,10,82,1
Волгоградская область,082022,23293,24,136,2
г. Севастополь,082022,4103,1,38,4
Ростовская область,082022,36917,8,350,8
Краснодарский край,082022,49916,7,583,17
Республика Адыгея,082022,2855,4,48,0
Республика Калмыкия,082022,1785,2,30,0
Республика Крым,082022,13218,3,181,7
Кировская область,082022,10943,139,156,0
Нижегородская область,082022,25426,42,76,18
Оренбургская область,082022,13727,21,229,2
Пензенская область,082022,8406,29,131,1
Пермский край,082022,25826,97,110,3
Республика Татарстан,082022,34244,7,93,7
Республика Башкортостан,082022,31870,36,221,6
Республика Марий Эл,082022,4835,9,73,0
Республика Мордовия,082022,4839,14,54,0
Самарская область,082022,30638,557,187,5
Саратовская область,082022,18633,146,157,1
Удмуртская Республика,082022,15752,13,173,2
Ульяновская область,082022,7444,27,49,1
Чувашская Республика,082022,7736,8,114,0
Курганская область,082022,8149,1,172,2
Свердловская область,082022,33054,18,215,6
Тюменская область,082022,15610,16,126,5
Ханты-Мансийский автономный округ –  Югра,082022,12779,15,68,2
Ямало-Ненецкий автономный округ,082022,4142,4,36,0
Челябинская область,082022,40508,94,427,8
Алтайский край,082022,25102,98,197,3
Иркутская область,082022,22901,11,76,0
Кемеровская область – Кузбасс,082022,29787,127,262,16
Красноярский край,082022,28207,211,241,20
Новосибирская область,082022,29012,196,202,49
Омская область,082022,14250,70,144,9
Республика Алтай,082022,2948,4,49,0
Республика Тыва,082022,4244,31,29,3
Республика Хакасия,082022,5921,31,61,3
Томская область,082022,11484,48,95,5
Амурская область,082022,10108,36,244,0
Еврейская автономная область,082022,1788,9,48,0
Забайкальский край,082022,13099,51,154,1
Камчатский край,082022,3455,29,70,3
Магаданская область,082022,1367,3,66,0
Приморский край,082022,20626,168,511,49
Республика Бурятия,082022,12810,91,110,3
Республика Саха (Якутия),082022,7872,1,70,1
Сахалинская область,082022,5154,11,109,0
Хабаровский край,082022,13450,7,87,11
Чукотский автономный округ,082022,500,0,33,0
Транспорт России,082022,22581,0,480,1040
УТ МВД по Южному ФО,082022,982,0,38,73
УТ МВД по Уральскому ФО,082022,2510,0,49,87
УТ МВД по Центральному ФО,082022,3663,0,99,269
УТ МВД по Приволжскому ФО,082022,4031,0,52,175
УТ МВД по Сибирскому ФО,082022,2668,0,64,95
УТ МВД по Северо-Западному ФО,082022,2901,0,44,145
УТ МВД по Дальневосточному ФО,082022,2032,0,28,43
УТ МВД по Северо-Кавказскому ФО,082022,1930,0,44,97
Белгородская область,092021,10194,3,86,12
Брянская область,092021,10112,9,129,4
Владимирская область,092021,11137,5,144,2
Воронежская область,092021,20885,4,114,8
Ивановская область,092021,8404,4,54,1
Калужская область,092021,11178,4,196,2
Костромская область,092021,6103,1,10,0
Курская область,092021,9747,4,60,9
г. Москва,092021,104760,220,75,33
Московская область,092021,53635,15,128,13
Липецкая область,092021,8890,0,48,2
Орловская область,092021,5376,6,42,0
Рязанская область,092021,6338,1,57,7
Смоленская область,092021,9719,9,129,7
Тамбовская область,092021,9840,8,42,1
Тверская область,092021,14413,1,96,3
Тульская область,092021,10024,26,120,14
Ярославская область,092021,11160,10,46,1
Архангельская область,092021,11505,7,65,8
Ненецкий автономный округ,092021,518,2,62,0
г. Санкт-Петербург,092021,44068,66,75,35
Ленинградская область,092021,18974,8,59,7
Вологодская область,092021,12275,15,60,0
Калининградская область,092021,9198,5,85,14
Мурманская область,092021,7886,4,130,13
Новгородская  область,092021,7544,7,68,0
Псковская область,092021,5779,23,88,3
Республика Карелия,092021,9434,27,98,10
Республика Коми,092021,10282,7,59,0
Кабардино-Балкарская Республика,092021,5324,1,18,2
Карачаево-Черкесская Республика,092021,3072,0,62,1
Республика Дагестан,092021,10422,0,146,18
Республика Ингушетия,092021,1459,0,28,2
Республика Северная Осетия – Алания,092021,5722,0,137,4
Ставропольский край,092021,25067,0,38,19
Чеченская Республика,092021,2227,6,25,1
Астраханская область,092021,9824,1,92,6
Волгоградская область,092021,26863,17,162,0
г. Севастополь,092021,4270,0,43,0
Ростовская область,092021,41318,0,339,11
Краснодарский край,092021,55719,5,673,20
Республика Адыгея,092021,2961,3,76,0
Республика Калмыкия,092021,2042,2,24,0
Республика Крым,092021,14552,3,132,10
Кировская область,092021,12879,124,128,1
Нижегородская область,092021,29278,46,82,17
Оренбургская область,092021,18438,8,252,4
Пензенская область,092021,9429,13,116,0
Пермский край,092021,29003,81,249,5
Республика Татарстан,092021,38616,12,111,10
Республика Башкортостан,092021,37880,40,246,7
Республика Марий Эл,092021,5024,22,81,1
Республика Мордовия,092021,6000,15,164,0
Самарская область,092021,31451,549,200,3
Саратовская область,092021,21537,228,88,2
Удмуртская Республика,092021,19438,27,101,3
Ульяновская область,092021,8480,45,50,4
Чувашская Республика,092021,8608,13,75,0
Курганская область,092021,10015,5,211,0
Свердловская область,092021,38852,28,189,13
Тюменская область,092021,17190,9,148,7
Ханты-Мансийский автономный округ –  Югра,092021,14661,20,81,0
Ямало-Ненецкий автономный округ,092021,5052,6,32,0
Челябинская область,092021,45780,77,425,9
Алтайский край,092021,28423,37,200,6
Иркутская область,092021,27167,2,98,3
Кемеровская область – Кузбасс,092021,35823,12,321,3
Красноярский край,092021,32859,143,317,14
Новосибирская область,092021,33215,166,214,25
Омская область,092021,17405,12,161,15
Республика Алтай,092021,3312,0,46,0
Республика Тыва,092021,6277,14,17,0
Республика Хакасия,092021,7879,12,27,1
Томская область,092021,11552,2,72,5
Амурская область,092021,12958,29,235,4
Еврейская автономная область,092021,2163,0,40,0
Забайкальский край,092021,14889,38,201,5
Камчатский край,092021,4116,28,77,1
Магаданская область,092021,1707,3,76,5
Приморский край,092021,24060,172,503,47
Республика Бурятия,092021,14869,116,145,1
Республика Саха (Якутия),092021,8763,2,30,0
Сахалинская область,092021,5985,16,132,7
Хабаровский край,092021,15623,6,89,2
Чукотский автономный округ,092021,510,1,44,0
Транспорт России,092021,26635,3,505,1252
УТ МВД по Южному ФО,092021,1153,0,61,54
УТ МВД по Уральскому ФО,092021,2758,0,80,69
УТ МВД по Центральному ФО,092021,4849,1,17,575
УТ МВД по Приволжскому ФО,092021,4769,1,34,91
УТ МВД по Сибирскому ФО,092021,3220,0,59,68
УТ МВД по Северо-Западному ФО,092021,2944,0,25,176
УТ МВД по Дальневосточному ФО,092021,2396,1,96,38
УТ МВД по Северо-Кавказскому ФО,092021,2110,0,53,89
Белгородская область,092022,10374,1,73,5
Брянская область,092022,9751,9,83,13
Владимирская область,092022,11163,5,96,0
Воронежская область,092022,22264,23,87,2
Ивановская область,092022,8268,15,80,0
Калужская область,092022,10478,26,170,1
Костромская область,092022,5673,3,16,0
Курская область,092022,9544,1,83,15
г. Москва,092022,102541,200,143,42
Московская область,092022,53985,57,103,4
Липецкая область,092022,9227,0,91,2
Орловская область,092022,5762,6,34,0
Рязанская область,092022,6445,2,80,3
Смоленская область,092022,10251,12,208,1
Тамбовская область,092022,9864,16,49,0
Тверская область,092022,14734,10,178,5
Тульская область,092022,10820,13,95,13
Ярославская область,092022,11831,13,66,1
Архангельская область,092022,11408,14,108,1
Ненецкий автономный округ,092022,449,0,18,0
г. Санкт-Петербург,092022,43263,401,72,36
Ленинградская область,092022,20445,60,43,31
Вологодская область,092022,12037,15,67,4
Калининградская область,092022,8908,28,109,5
Мурманская область,092022,8156,18,127,3
Новгородская  область,092022,7507,10,37,0
Псковская область,092022,5977,28,105,9
Республика Карелия,092022,8310,25,119,9
Республика Коми,092022,10087,27,56,0
Кабардино-Балкарская Республика,092022,5137,1,41,0
Карачаево-Черкесская Республика,092022,3202,0,72,0
Республика Дагестан,092022,10508,3,106,12
Республика Ингушетия,092022,1577,0,46,0
Республика Северная Осетия – Алания,092022,5809,1,106,8
Ставропольский край,092022,24540,0,36,9
Чеченская Республика,092022,1585,0,19,3
Астраханская область,092022,9329,10,91,1
Волгоградская область,092022,26041,27,157,2
г. Севастополь,092022,4611,1,42,4
Ростовская область,092022,41232,9,392,8
Краснодарский край,092022,56202,7,637,18
Республика Адыгея,092022,3102,4,56,0
Республика Калмыкия,092022,1952,2,30,0
Республика Крым,092022,15014,3,197,7
Кировская область,092022,12296,148,164,0
Нижегородская область,092022,28490,44,84,24
Оренбургская область,092022,15509,23,256,2
Пензенская область,092022,9342,35,145,1
Пермский край,092022,29230,105,128,4
Республика Татарстан,092022,38431,8,96,8
Республика Башкортостан,092022,36093,40,249,6
Республика Марий Эл,092022,5373,9,75,0
Республика Мордовия,092022,5529,18,60,0
Самарская область,092022,34501,648,218,6
Саратовская область,092022,20889,163,165,1
Удмуртская Республика,092022,17599,13,201,2
Ульяновская область,092022,8287,31,59,1
Чувашская Республика,092022,8638,8,141,0
Курганская область,092022,9224,1,205,2
Свердловская область,092022,37228,22,246,10
Тюменская область,092022,17380,18,147,5
Ханты-Мансийский автономный округ –  Югра,092022,14335,16,72,2
Ямало-Ненецкий автономный округ,092022,4629,4,37,0
Челябинская область,092022,45319,100,482,8
Алтайский край,092022,28122,113,207,3
Иркутская область,092022,25681,12,89,0
Кемеровская область – Кузбасс,092022,33367,145,289,15
Красноярский край,092022,31542,230,262,21
Новосибирская область,092022,32899,204,235,51
Омская область,092022,16000,76,182,5
Республика Алтай,092022,3257,4,52,0
Республика Тыва,092022,4816,34,31,5
Республика Хакасия,092022,6585,32,73,3
Томская область,092022,13120,51,122,5
Амурская область,092022,11366,37,272,0
Еврейская автономная область,092022,2037,10,55,0
Забайкальский край,092022,14603,55,160,1
Камчатский край,092022,3794,30,76,3
Магаданская область,092022,1557,3,81,0
Приморский край,092022,23009,186,599,53
Республика Бурятия,092022,14330,100,124,3
Республика Саха (Якутия),092022,8894,1,80,1
Сахалинская область,092022,5868,12,136,0
Хабаровский край,092022,15219,9,96,11
Чукотский автономный округ,092022,559,0,36,0
Транспорт России,092022,25301,0,519,1138
УТ МВД по Южному ФО,092022,1084,0,45,79
УТ МВД по Уральскому ФО,092022,2830,0,53,86
УТ МВД по Центральному ФО,092022,4180,0,102,297
УТ МВД по Приволжскому ФО,092022,4527,0,53,190
УТ МВД по Сибирскому ФО,092022,2976,0,75,106
УТ МВД по Северо-Западному ФО,092022,3213,0,44,166
УТ МВД по Дальневосточному ФО,092022,2286,0,33,47
УТ МВД по Северо-Кавказскому ФО,092022,2097,0,47,109
Белгородская область,102021,11350,4,93,11
Брянская область,102021,11320,9,137,4
Владимирская область,102021,12851,6,149,2
Воронежская область,102021,23885,5,117,8
Ивановская область,102021,9342,5,59,1
Калужская область,102021,12482,4,212,1
Костромская область,102021,6957,1,10,0
Курская область,102021,10799,5,63,12
г. Москва,102021,116624,236,93,33
Московская область,102021,60020,20,141,14
Липецкая область,102021,10369,0,64,2
Орловская область,102021,6310,7,47,1
Рязанская область,102021,7234,2,64,7
Смоленская область,102021,11049,10,144,8
Тамбовская область,102021,10908,8,43,1
Тверская область,102021,16019,1,112,3
Тульская область,102021,11510,26,132,16
Ярославская область,102021,12913,11,50,1
Архангельская область,102021,12997,12,71,8
Ненецкий автономный округ,102021,580,2,63,0
г. Санкт-Петербург,102021,51403,82,80,31
Ленинградская область,102021,22002,10,65,6
Вологодская область,102021,13606,15,66,0
Калининградская область,102021,10342,5,102,21
Мурманская область,102021,9179,4,145,14
Новгородская  область,102021,8331,9,72,0
Псковская область,102021,6500,25,95,4
Республика Карелия,102021,10660,33,104,9
Республика Коми,102021,11691,8,66,0
Кабардино-Балкарская Республика,102021,5801,1,19,3
Карачаево-Черкесская Республика,102021,3408,0,69,1
Республика Дагестан,102021,11734,0,160,17
Республика Ингушетия,102021,1631,0,32,2
Республика Северная Осетия – Алания,102021,6508,0,164,7
Ставропольский край,102021,28065,2,38,20
Чеченская Республика,102021,2347,6,29,1
Астраханская область,102021,10853,2,189,6
Волгоградская область,102021,30282,19,187,0
г. Севастополь,102021,4852,0,41,0
Ростовская область,102021,47081,0,382,12
Краснодарский край,102021,63080,7,711,26
Республика Адыгея,102021,3226,3,84,0
Республика Калмыкия,102021,2326,3,29,0
Республика Крым,102021,16414,3,133,11
Кировская область,102021,14560,138,156,1
Нижегородская область,102021,33045,47,89,16
Оренбургская область,102021,20399,8,270,5
Пензенская область,102021,10408,19,143,1
Пермский край,102021,32329,104,273,8
Республика Татарстан,102021,42563,12,119,11
Республика Башкортостан,102021,42632,45,259,7
Республика Марий Эл,102021,5709,22,82,1
Республика Мордовия,102021,6803,17,182,0
Самарская область,102021,34838,613,225,4
Саратовская область,102021,23607,240,87,2
Удмуртская Республика,102021,21567,27,107,3
Ульяновская область,102021,9545,49,60,4
Чувашская Республика,102021,9583,14,86,0
Курганская область,102021,11335,5,234,0
Свердловская область,102021,43494,30,213,13
Тюменская область,102021,19267,12,150,9
Ханты-Мансийский автономный округ –  Югра,102021,16418,21,86,0
Ямало-Ненецкий автономный округ,102021,5535,6,39,0
Челябинская область,102021,51292,83,488,10
Алтайский край,102021,31753,47,257,8
Иркутская область,102021,30425,3,108,3
Кемеровская область – Кузбасс,102021,39919,13,352,6
Красноярский край,102021,36812,165,404,14
Новосибирская область,102021,37371,181,247,29
Омская область,102021,19385,9,177,16
Республика Алтай,102021,3680,0,47,0
Республика Тыва,102021,6981,17,18,1
Республика Хакасия,102021,8821,12,29,0
Томская область,102021,12883,7,85,7
Амурская область,102021,14339,30,262,4
Еврейская автономная область,102021,2462,0,47,0
Забайкальский край,102021,16451,43,212,5
Камчатский край,102021,4615,31,78,2
Магаданская область,102021,1917,4,88,6
Приморский край,102021,27440,181,551,48
Республика Бурятия,102021,16348,132,162,1
Республика Саха (Якутия),102021,9909,2,36,0
Сахалинская область,102021,6670,19,155,7
Хабаровский край,102021,17304,7,114,3
Чукотский автономный округ,102021,566,1,47,0
Транспорт России,102021,29211,2,530,1477
УТ МВД по Южному ФО,102021,1243,0,63,61
УТ МВД по Уральскому ФО,102021,3014,0,81,70
УТ МВД по Центральному ФО,102021,5334,1,17,725
УТ МВД по Приволжскому ФО,102021,5136,1,40,93
УТ МВД по Сибирскому ФО,102021,3598,0,65,89
УТ МВД по Северо-Западному ФО,102021,3242,0,27,197
УТ МВД по Дальневосточному ФО,102021,2688,0,96,57
УТ МВД по Северо-Кавказскому ФО,102021,2312,0,56,86
Белгородская область,102022,11678,1,86,4
Брянская область,102022,10791,9,100,14
Владимирская область,102022,12966,7,101,0
Воронежская область,102022,25131,26,102,3
Ивановская область,102022,9194,15,87,0
Калужская область,102022,11588,28,182,1
Костромская область,102022,6380,3,18,0
Курская область,102022,10630,1,89,15
г. Москва,102022,113853,216,160,50
Московская область,102022,60229,61,198,4
Липецкая область,102022,10961,0,101,2
Орловская область,102022,6605,7,37,0
Рязанская область,102022,7457,2,84,3
Смоленская область,102022,11753,12,235,6
Тамбовская область,102022,10936,16,55,0
Тверская область,102022,17481,10,189,5
Тульская область,102022,12340,14,105,13
Ярославская область,102022,14118,20,67,2
Архангельская область,102022,12697,16,122,1
Ненецкий автономный округ,102022,516,0,22,0
г. Санкт-Петербург,102022,48733,468,81,41
Ленинградская область,102022,23047,64,52,31
Вологодская область,102022,13555,16,70,5
Калининградская область,102022,10049,28,113,8
Мурманская область,102022,9376,21,137,3
Новгородская  область,102022,8326,10,42,0
Псковская область,102022,6708,31,115,9
Республика Карелия,102022,9437,26,134,9
Республика Коми,102022,11452,36,60,0
Кабардино-Балкарская Республика,102022,5766,1,47,0
Карачаево-Черкесская Республика,102022,3486,0,73,0
Республика Дагестан,102022,11558,3,126,13
Республика Ингушетия,102022,1751,0,51,0
Республика Северная Осетия – Алания,102022,6570,1,114,8
Ставропольский край,102022,27561,0,40,11
Чеченская Республика,102022,1719,0,21,4
Астраханская область,102022,10280,10,94,1
Волгоградская область,102022,29119,29,169,2
г. Севастополь,102022,5120,1,44,4
Ростовская область,102022,46246,10,434,9
Краснодарский край,102022,63180,7,707,20
Республика Адыгея,102022,3454,4,61,0
Республика Калмыкия,102022,2144,4,30,0
Республика Крым,102022,16920,3,216,7
Кировская область,102022,13904,166,184,0
Нижегородская область,102022,32096,49,92,25
Оренбургская область,102022,17268,25,282,2
Пензенская область,102022,10238,42,143,1
Пермский край,102022,32750,115,145,4
Республика Татарстан,102022,43056,9,113,16
Республика Башкортостан,102022,40654,39,268,5
Республика Марий Эл,102022,5976,9,81,0
Республика Мордовия,102022,6212,18,62,0
Самарская область,102022,38279,696,269,6
Саратовская область,102022,23341,179,183,1
Удмуртская Республика,102022,19859,14,201,2
Ульяновская область,102022,9320,36,67,1
Чувашская Республика,102022,9662,10,151,0
Курганская область,102022,10250,1,222,3
Свердловская область,102022,41606,29,269,9
Тюменская область,102022,19042,22,156,6
Ханты-Мансийский автономный округ –  Югра,102022,16125,19,80,3
Ямало-Ненецкий автономный округ,102022,5262,5,38,0
Челябинская область,102022,49983,105,528,13
Алтайский край,102022,31601,124,239,3
Иркутская область,102022,28910,14,94,0
Кемеровская область – Кузбасс,102022,36998,158,309,16
Красноярский край,102022,35189,253,292,21
Новосибирская область,102022,37513,214,262,57
Омская область,102022,18184,82,196,6
Республика Алтай,102022,3641,4,55,0
Республика Тыва,102022,5351,38,32,5
Республика Хакасия,102022,7465,33,80,3
Томская область,102022,14713,55,127,7
Амурская область,102022,12624,40,297,0
Еврейская автономная область,102022,2292,10,59,0
Забайкальский край,102022,16103,60,173,1
Камчатский край,102022,4218,33,77,3
Магаданская область,102022,1813,3,84,1
Приморский край,102022,25547,203,655,62
Республика Бурятия,102022,15774,114,134,3
Республика Саха (Якутия),102022,9924,0,85,1
Сахалинская область,102022,6537,13,154,1
Хабаровский край,102022,16928,10,110,6
Чукотский автономный округ,102022,622,0,37,0
Транспорт России,102022,27957,0,543,1209
УТ МВД по Южному ФО,102022,1186,0,46,83
УТ МВД по Уральскому ФО,102022,3103,0,53,89
УТ МВД по Центральному ФО,102022,4619,0,98,320
УТ МВД по Приволжскому ФО,102022,5001,0,61,198
УТ МВД по Сибирскому ФО,102022,3273,0,80,112
УТ МВД по Северо-Западному ФО,102022,3567,0,45,181
УТ МВД по Дальневосточному ФО,102022,2532,0,40,45
УТ МВД по Северо-Кавказскому ФО,102022,2287,0,47,116
Белгородская область,112021,12378,4,108,11
Брянская область,112021,12239,10,145,7
Владимирская область,112021,13970,7,157,2
Воронежская область,112021,25730,7,122,8
Ивановская область,112021,10198,5,66,3
Калужская область,112021,13598,5,227,1
Костромская область,112021,7548,1,8,0
Курская область,112021,11606,5,70,12
г. Москва,112021,127243,265,116,36
Московская область,112021,65308,29,162,14
Липецкая область,112021,11250,0,70,1
Орловская область,112021,6761,8,48,2
Рязанская область,112021,7960,3,73,7
Смоленская область,112021,11823,10,168,9
Тамбовская область,112021,11743,9,44,1
Тверская область,112021,17491,1,118,4
Тульская область,112021,12646,26,134,16
Ярославская область,112021,13988,11,54,1
Архангельская область,112021,14171,17,95,7
Ненецкий автономный округ,112021,623,2,68,0
г. Санкт-Петербург,112021,56651,163,90,32
Ленинградская область,112021,24149,15,75,6
Вологодская область,112021,14944,17,72,0
Калининградская область,112021,11359,5,106,21
Мурманская область,112021,10219,8,158,14
Новгородская  область,112021,9076,11,82,0
Псковская область,112021,7104,27,104,4
Республика Карелия,112021,11567,37,125,11
Республика Коми,112021,12806,18,82,0
Кабардино-Балкарская Республика,112021,6232,1,18,3
Карачаево-Черкесская Республика,112021,3689,0,84,1
Республика Дагестан,112021,12539,0,172,16
Республика Ингушетия,112021,1759,0,36,2
Республика Северная Осетия – Алания,112021,7014,0,175,8
Ставропольский край,112021,30382,3,43,21
Чеченская Республика,112021,2496,6,31,1
Астраханская область,112021,11835,2,205,6
Волгоградская область,112021,32752,27,198,0
г. Севастополь,112021,5274,0,47,0
Ростовская область,112021,50835,0,417,12
Краснодарский край,112021,67716,7,776,30
Республика Адыгея,112021,3523,3,95,0
Республика Калмыкия,112021,2526,3,31,0
Республика Крым,112021,17787,4,161,11
Кировская область,112021,15787,144,161,1
Нижегородская область,112021,35837,51,95,16
Оренбургская область,112021,21952,9,291,5
Пензенская область,112021,11258,20,140,1
Пермский край,112021,35033,111,294,9
Республика Татарстан,112021,46189,13,131,12
Республика Башкортостан,112021,46022,46,270,9
Республика Марий Эл,112021,6252,22,87,1
Республика Мордовия,112021,7144,18,197,0
Самарская область,112021,37744,668,231,3
Саратовская область,112021,25773,261,99,3
Удмуртская Республика,112021,23467,29,108,3
Ульяновская область,112021,10259,56,63,4
Чувашская Республика,112021,10466,14,92,0
Курганская область,112021,12287,5,249,0
Свердловская область,112021,47681,31,232,14
Тюменская область,112021,20911,14,156,9
Ханты-Мансийский автономный округ –  Югра,112021,18030,26,113,0
Ямало-Ненецкий автономный округ,112021,6039,6,42,0
Челябинская область,112021,56056,93,546,10
Алтайский край,112021,34374,55,281,10
Иркутская область,112021,33071,0,114,3
Кемеровская область – Кузбасс,112021,43200,20,398,16
Красноярский край,112021,40219,187,432,14
Новосибирская область,112021,40753,216,273,35
Омская область,112021,20819,52,190,17
Республика Алтай,112021,3975,0,63,0
Республика Тыва,112021,7495,22,19,1
Республика Хакасия,112021,9508,13,32,0
Томская область,112021,13987,24,87,10
Амурская область,112021,15646,33,287,5
Еврейская автономная область,112021,2616,0,50,0
Забайкальский край,112021,17918,46,223,5
Камчатский край,112021,5029,33,86,2
Магаданская область,112021,2097,4,98,7
Приморский край,112021,29752,193,599,53
Республика Бурятия,112021,17922,140,168,1
Республика Саха (Якутия),112021,10914,2,34,0
Сахалинская область,112021,7255,21,172,8
Хабаровский край,112021,18877,7,130,3
Чукотский автономный округ,112021,610,1,53,0
Транспорт России,112021,31357,2,597,1621
УТ МВД по Южному ФО,112021,1318,0,71,66
УТ МВД по Уральскому ФО,112021,3196,0,85,75
УТ МВД по Центральному ФО,112021,5831,1,16,809
УТ МВД по Приволжскому ФО,112021,5465,1,43,96
УТ МВД по Сибирскому ФО,112021,3855,0,80,97
УТ МВД по Северо-Западному ФО,112021,3502,0,28,213
УТ МВД по Дальневосточному ФО,112021,2872,0,107,64
УТ МВД по Северо-Кавказскому ФО,112021,2472,0,63,97
Белгородская область,112022,12802,1,89,4
Брянская область,112022,11628,9,110,14
Владимирская область,112022,14193,7,114,0
Воронежская область,112022,27107,29,110,3
Ивановская область,112022,10075,17,93,0
Калужская область,112022,12602,29,191,1
Костромская область,112022,6883,4,18,0
Курская область,112022,11452,2,103,16
г. Москва,112022,123633,231,184,57
Московская область,112022,65302,61,215,4
Липецкая область,112022,12037,1,103,2
Орловская область,112022,7036,10,41,0
Рязанская область,112022,8006,3,85,3
Смоленская область,112022,12703,12,261,6
Тамбовская область,112022,11915,17,57,0
Тверская область,112022,18479,17,203,5
Тульская область,112022,13506,15,114,13
Ярославская область,112022,15900,21,72,2
Архангельская область,112022,13984,17,129,1
Ненецкий автономный округ,112022,556,0,22,0
г. Санкт-Петербург,112022,54402,508,87,41
Ленинградская область,112022,25216,71,55,32
Вологодская область,112022,14887,16,75,5
Калининградская область,112022,10943,32,126,8
Мурманская область,112022,10346,22,147,3
Новгородская  область,112022,9126,10,43,1
Псковская область,112022,7337,32,121,10
Республика Карелия,112022,10204,27,156,9
